position, SAT_01, SAT_02, SAT_03, SAT_04, SAT_103, SAT_104, SAT_105, SAT_106, SAT_201, SAT_202, SAT_203, SAT_204, SAT_205, SAT_206, SAT_207, SAT_208, SAT_209, SAT_210, SAT_211, SAT_212, SAT_213, SAT_214, SAT_215, SAT_216, SAT_217, SAT_218, SAT_219, SAT_220, SAT_221, SAT_222, SAT_223, SAT_224, SAT_300, SAT_301, SAT_302, SAT_303, SAT_400, SAT_401, SAT_402, SAT_403
-86, -1.61188, -1.61188, -3.12205e-08, -3.12205e-08, -3.91072e-59, -3.91072e-59, -9.93746e-97, -9.93746e-97, -5.08778, -5.08778, 4.67692, 4.67692, -6.06807, -6.06807, 2.97322, 2.37745, -4.55214, 1.06286, -8.34157, -13.703, 4.06623, 4.06623, 1.00954, 1.00954, -8.21493, -8.21493, 2.37745, 2.97322, 1.06286, -4.55214, -13.703, -8.34157, 0, 0, 0, 0, 0, 0, 0, 0
-85.5, -1.52143, -1.52143, -2.40354e-08, -2.40354e-08, -8.12061e-59, -8.12061e-59, -2.51735e-96, -2.51735e-96, -4.93759, -4.93759, 4.71826, 4.71826, -5.99752, -5.99752, 2.90509, 2.45974, -4.58135, 0.7474, -8.26241, -13.7065, 4.01832, 4.01832, 1.16918, 1.16918, -8.05092, -8.05092, 2.45974, 2.90509, 0.7474, -4.58135, -13.7065, -8.26241, 0, 0, 0, 0, 0, 0, 0, 0
-85, -1.43339, -1.43339, -1.84693e-08, -1.84693e-08, -1.68291e-58, -1.68291e-58, -6.36432e-96, -6.36432e-96, -4.78289, -4.78289, 4.76032, 4.76032, -5.92709, -5.92709, 2.83042, 2.54495, -4.60266, 0.424002, -8.17871, -13.7056, 3.96301, 3.96301, 1.31979, 1.31979, -7.8803, -7.8803, 2.54495, 2.83042, 0.424002, -4.60266, -13.7056, -8.17871, 0, 0, 0, 0, 0, 0, 0, 0
-84.5, -1.34795, -1.34795, -1.41656e-08, -1.41656e-08, -3.48073e-58, -3.48073e-58, -1.60583e-95, -1.60583e-95, -4.62433, -4.62433, 4.80336, 4.80336, -5.8568, -5.8568, 2.74942, 2.63339, -4.6161, 0.0934987, -8.091, -13.7005, 3.90097, 3.90097, 1.46167, 1.46167, -7.70366, -7.70366, 2.63339, 2.74942, 0.0934987, -4.6161, -13.7005, -8.091, 0, 0, 0, 0, 0, 0, 0, 0
-84, -1.26524, -1.26524, -1.08443e-08, -1.08443e-08, -7.18488e-58, -7.18488e-58, -4.04376e-95, -4.04376e-95, -4.46258, -4.46258, 4.84758, 4.84758, -5.78666, -5.78666, 2.66233, 2.72532, -4.6217, -0.243268, -7.99981, -13.6916, 3.83294, 3.83294, 1.59517, 1.59517, -7.52163, -7.52163, 2.72532, 2.66233, -0.243268, -4.6217, -13.6916, -7.99981, 0, 0, 0, 0, 0, 0, 0, 0
-83.5, -1.18539, -1.18539, -8.28625e-09, -8.28625e-09, -1.48016e-57, -1.48016e-57, -1.01627e-94, -1.01627e-94, -4.29832, -4.29832, 4.89319, 4.89319, -5.71665, -5.71665, 2.56945, 2.821, -4.61954, -0.585455, -7.90568, -13.6791, 3.75974, 3.75974, 1.72076, 1.72076, -7.33486, -7.33486, 2.821, 2.56945, -0.585455, -4.61954, -13.6791, -7.90568, 0, 0, 0, 0, 0, 0, 0, 0
-83, -1.10852, -1.10852, -6.31973e-09, -6.31973e-09, -3.04325e-57, -3.04325e-57, -2.54902e-94, -2.54902e-94, -4.13222, -4.13222, 4.94037, 4.94037, -5.64673, -5.64673, 2.47108, 2.92063, -4.6097, -0.932223, -7.80916, -13.6633, 3.68221, 3.68221, 1.83895, 1.83895, -7.144, -7.144, 2.92063, 2.47108, -0.932223, -4.6097, -13.6633, -7.80916, 0, 0, 0, 0, 0, 0, 0, 0
-82.5, -1.03468, -1.03468, -4.81087e-09, -4.81087e-09, -6.24462e-57, -6.24462e-57, -6.38082e-94, -6.38082e-94, -3.96495, -3.96495, 4.98927, 4.98927, -5.57681, -5.57681, 2.36759, 3.0244, -4.5923, -1.28274, -7.71077, -13.6446, 3.60125, 3.60125, 1.95035, 1.95035, -6.94974, -6.94974, 3.0244, 2.36759, -1.28274, -4.5923, -13.6446, -7.71077, 0, 0, 0, 0, 0, 0, 0, 0
-82, -0.96396, -0.96396, -3.6554e-09, -3.6554e-09, -1.27883e-56, -1.27883e-56, -1.59411e-93, -1.59411e-93, -3.7972, -3.7972, 5.04003, 5.04003, -5.50681, -5.50681, 2.25937, 3.13245, -4.56745, -1.63616, -7.61106, -13.6234, 3.51779, 3.51779, 2.05562, 2.05562, -6.75279, -6.75279, 3.13245, 2.25937, -1.63616, -4.56745, -13.6234, -7.61106, 0, 0, 0, 0, 0, 0, 0, 0
-81.5, -0.896383, -0.896383, -2.77223e-09, -2.77223e-09, -2.61373e-56, -2.61373e-56, -3.97465e-93, -3.97465e-93, -3.6296, -3.6296, 5.09278, 5.09278, -5.43662, -5.43662, 2.14682, 3.2449, -4.53529, -1.99168, -7.51054, -13.6001, 3.43281, 3.43281, 2.15547, 2.15547, -6.55385, -6.55385, 3.2449, 2.14682, -1.99168, -4.53529, -13.6001, -7.51054, 0, 0, 0, 0, 0, 0, 0, 0
