position,M_101,M_102,M_107,M_108,M_109,M_110,M_111,M_112,M_113,M_114,M_115,M_116,M_117,M_118,M_119,M_120,M_121,M_122,M_123,M_124,M_125,M_126,M_127,M_128,M_129,M_130,M_131,M_132,M_133,M_134,M_135,M_136,M_137,M_138,M_139,M_140
 600.0,-0.2011, 0.2011,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300
 1480.0,-0.2011, 0.2011,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300,-0.5300, 0.5300
