position,SAT_01,SAT_02,SAT_03,SAT_04,SAT_05,SAT_06,SAT_07,SAT_08,SAT_09,SAT_10,SAT_201,SAT_202,SAT_203,SAT_204,SAT_205,SAT_206,SAT_212,SAT_223
-285,-3.490197,-3.532431,5.257864,5.340036,-7.130368,-7.269648,0.000000,0.000000,0.000000,0.000000,12.161073,12.089659,-13.142935,-13.102403,0.000000,0.000000,0.000000,0.000000
-280,-2.966176,-3.003835,4.678091,4.752216,-7.084144,-7.223507,0.000000,0.000000,0.000000,0.000000,8.055841,7.990188,-8.892817,-8.866658,0.000000,0.000000,0.000000,0.000000
-276,-2.272878,-2.295976,3.945002,3.977403,-6.492760,-6.612585,0.000000,0.000000,0.000000,0.000000,5.323457,5.250094,-4.575383,-4.540656,-3.107643,-3.138603,0.000000,0.000000
-272,-1.462752,-1.494686,3.009648,3.053261,-5.663063,-5.781805,0.000000,0.000000,0.000000,0.000000,2.666245,2.597431,-0.085131,-0.052572,-6.770677,-6.838417,0.000000,0.000000
-267,-0.373246,-0.400752,1.695845,1.712704,-4.422449,-4.519078,0.000000,0.000000,0.000000,0.000000,-0.452537,-0.524655,5.405191,5.450646,-11.598153,-11.713894,0.000000,0.000000
-263,0.583200,0.557143,0.599904,0.539670,-3.332738,-3.516798,0.000000,0.000000,0.000000,0.000000,-2.643498,-2.809631,9.397737,9.518403,-15.196005,-15.416790,0.000000,0.000000
-259,1.414662,1.368499,-0.529237,-0.553501,-2.350682,-2.411108,0.000000,0.000000,0.000000,0.000000,-4.650706,-4.742497,12.877963,12.911435,-18.292755,-18.519072,0.000000,0.000000
-255,2.153516,2.144887,-1.546544,-1.637332,-1.386112,-1.447808,0.000000,0.000000,0.000000,0.000000,-6.240424,-6.314668,15.451538,15.525548,-20.554398,-20.811540,0.000000,0.000000
-250,2.914836,2.897636,-2.684917,-2.729794,-0.474469,-0.476158,0.000000,0.000000,0.000000,0.000000,-7.606821,-7.640475,17.098839,17.134961,-21.677484,-21.872245,0.000000,0.000000
-246,3.273963,3.297676,-3.345580,-3.436507,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-8.072732,-8.044339,16.822468,16.818921,-20.815444,-21.001652,0.000000,0.000000
-242,3.367569,3.419126,-3.320317,-3.406392,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-7.610729,-7.534714,15.750163,15.678948,-17.664314,-17.750122,-3.177205,-3.069608
-238,3.168668,3.246619,-3.074703,-3.196912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-6.618316,-6.496770,13.553848,13.413195,-12.851060,-12.921627,-7.132608,-6.925180
-233,2.484670,2.654641,-2.554022,-2.619121,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-4.846558,-4.575542,9.690606,9.444981,-5.390735,-5.389746,-12.746031,-12.336788
-229,1.810116,1.973181,-2.018553,-2.058195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-3.107541,-2.835143,6.082927,5.773668,1.189486,1.265602,-17.344032,-16.821063
-225,0.987592,1.208146,-1.426609,-1.476175,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.316342,-0.970233,2.330865,1.939634,7.783986,7.912555,-21.724667,-21.081519
-221,0.136384,0.386738,-0.877066,-0.910104,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.480138,0.866768,-1.286632,-1.744223,13.852440,14.050184,-25.574872,-24.842779
-216,-0.884270,-0.620503,-0.310492,-0.323374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.496688,2.904798,-5.188603,-5.692674,19.938922,20.191481,-29.165308,-28.383652
-212,-1.554284,-1.297663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.814686,4.214491,-7.426415,-7.937167,23.014333,23.296116,-30.677982,-29.915767
