position,SAT_103,SAT_104,SAT_105,SAT_106,SAT_107,SAT_108,SAT_109,SAT_110,SAT_111,SAT_112,SAT_113,SAT_114,SAT_115,SAT_116,SAT_117,SAT_118,SAT_211,SAT_213,SAT_214,SAT_215,SAT_216,SAT_217,SAT_218,SAT_224
169,0.028521,0.029208,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.036074,-0.021923,-0.021240,0.000413,0.001882,0.011123,0.008578,-0.035057
172,0.036453,0.037123,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.046112,-0.011621,-0.011276,0.000823,0.001500,0.000300,-0.002153,-0.045025
176,0.039726,0.041798,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.050027,-0.002301,-0.002426,0.000806,0.001510,-0.010615,-0.012102,-0.049550
179,0.047145,0.047963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.052221,0.006846,0.007311,-0.000019,-0.000263,-0.026573,-0.027891,-0.051573
183,0.051782,0.052855,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.044514,0.009665,0.010609,0.002855,0.002372,-0.044105,-0.044622,-0.044352
187,0.060326,0.061056,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.032380,0.007837,0.009340,0.008129,0.007053,-0.069025,-0.069186,-0.032869
190,0.066951,0.067668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.019830,0.001922,0.002927,0.014289,0.012466,-0.090445,-0.090332,-0.020806
194,0.073582,0.076722,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000204,-0.007947,-0.004619,0.025605,0.020429,-0.120291,-0.119728,-0.002363
198,0.082738,0.083542,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019586,-0.023258,-0.021630,0.036980,0.033675,-0.150475,-0.149831,0.017248
201,0.087685,0.088369,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034149,-0.034271,-0.032258,0.045319,0.042160,-0.172703,-0.171944,0.031247
205,0.092775,0.092875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.051905,-0.047832,-0.045828,0.055985,0.052241,-0.198829,-0.198076,0.048420
208,0.094136,0.094190,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.062832,-0.057276,-0.055400,0.063027,0.059272,-0.214788,-0.214056,0.059077
212,0.094749,0.094899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.073631,-0.067284,-0.064982,0.070383,0.066661,-0.228856,-0.227984,0.069595
216,0.091277,0.091179,0.004190,0.004107,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.077463,-0.073258,-0.071053,0.074579,0.070960,-0.234761,-0.233865,0.073476
221,0.083264,0.082990,0.011523,0.011336,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.073388,-0.075891,-0.073847,0.074427,0.071295,-0.232580,-0.231661,0.069744
225,0.074003,0.073597,0.018264,0.018013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.065438,-0.074536,-0.072803,0.072402,0.069799,-0.223213,-0.222225,0.062251
229,0.062837,0.062343,0.024988,0.024611,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.054351,-0.071189,-0.069577,0.068809,0.066794,-0.208704,-0.207727,0.051835
233,0.051341,0.050828,0.031140,0.030656,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.041106,-0.065503,-0.064144,0.063358,0.061965,-0.191078,-0.190142,0.039187
238,0.037936,0.037373,0.037171,0.036637,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023515,-0.056787,-0.055725,0.054784,0.054074,-0.166355,-0.165299,0.022456
242,0.027139,0.026538,0.038841,0.038338,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010637,-0.048404,-0.047677,0.048447,0.048283,-0.144791,-0.143726,0.010167
246,0.018111,0.017645,0.037924,0.037382,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.040299,-0.039766,0.042271,0.042459,-0.123413,-0.122399,0.000000
250,0.011164,0.010995,0.032552,0.032110,0.000304,0.000372,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.032641,-0.032454,0.036031,0.036370,-0.103826,-0.102914,0.000000
255,0.006876,0.006785,0.024054,0.023804,0.002533,0.002621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.025798,-0.025810,0.028910,0.029229,-0.081786,-0.080953,0.000000
259,0.004349,0.004337,0.014558,0.014378,0.004387,0.004463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.020100,-0.020194,0.026761,0.027026,-0.064267,-0.063566,0.000000
263,0.003030,0.003304,0.003958,0.004675,0.006440,0.006843,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014498,-0.015690,0.026621,0.026272,-0.048118,-0.047540,0.000000
267,0.003761,0.003927,-0.006465,-0.006421,0.008791,0.008899,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.011799,-0.012206,0.028905,0.028726,-0.033285,-0.032897,0.000000
272,0.005900,0.006245,-0.018203,-0.018266,0.011667,0.011570,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.011291,-0.011917,0.032648,0.032348,-0.018477,-0.018315,0.000000
276,0.008602,0.008685,-0.028019,-0.027593,0.012734,0.012670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.011648,-0.011940,0.039879,0.039315,-0.008015,-0.007912,0.000000
280,0.011909,0.011930,-0.036108,-0.035679,0.012902,0.012694,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014332,-0.014685,0.048925,0.048452,0.000000,0.000000,0.000000
285,0.016680,0.016694,-0.043545,-0.043136,0.012159,0.011746,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.018589,-0.018951,0.065964,0.065510,0.000000,0.000000,0.000000
290,0.022197,0.021918,-0.048185,-0.047658,0.009740,0.009019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.026969,-0.026760,0.083979,0.084066,0.000000,0.000000,0.000000
295,0.027408,0.026958,-0.049500,-0.048976,0.006478,0.005452,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.037906,-0.037313,0.102043,0.102624,0.000000,0.000000,0.000000
300,0.031959,0.031072,-0.048629,-0.047593,0.002062,0.000841,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.049940,-0.048827,0.118847,0.120019,0.000000,0.000000,0.000000
305,0.035620,0.034989,-0.045967,-0.045410,-0.002305,-0.003808,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.061561,-0.060087,0.133288,0.135009,0.000000,0.000000,0.000000
310,0.037442,0.037022,-0.040998,-0.040600,-0.006329,-0.007863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.071831,-0.069876,0.143697,0.145886,0.000000,0.000000,0.000000
315,0.037518,0.036977,-0.035569,-0.034920,-0.009778,-0.011602,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.079082,-0.076940,0.148623,0.151256,0.000000,0.000000,0.000000
320,0.035544,0.035012,-0.028912,-0.028252,-0.011616,-0.013450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.081709,-0.079446,0.147138,0.149974,0.000000,0.000000,0.000000
325,0.033145,0.032672,-0.023331,-0.022590,-0.013190,-0.014972,-0.000171,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.077889,-0.075599,0.138724,0.141619,0.000000,0.000000,0.000000
330,0.030399,0.029827,-0.018502,-0.017428,-0.013851,-0.015937,-0.000108,-0.000057,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.068772,-0.066864,0.124502,0.127065,0.000000,0.000000,0.000000
335,0.024487,0.023947,-0.012694,-0.012220,-0.013544,-0.014781,0.000133,0.000131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.057857,-0.056154,0.104517,0.106792,0.000000,0.000000,0.000000
340,0.017861,0.018045,-0.008159,-0.008083,-0.011668,-0.012259,0.000672,0.000626,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.044276,-0.042971,0.082012,0.084040,0.000000,0.000000,0.000000
345,0.013169,0.013171,-0.004140,-0.004127,-0.010981,-0.011001,0.001031,0.000890,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.029408,-0.028342,0.059043,0.059919,0.000000,0.000000,0.000000
350,0.009502,0.008668,-0.002038,-0.001008,-0.008976,-0.009695,0.001300,0.001362,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.014544,-0.014209,0.036427,0.037253,0.000000,0.000000,0.000000
355,0.003688,0.003500,0.000505,0.000697,-0.006420,-0.006296,0.002114,0.002002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.002542,-0.002343,0.015954,0.016308,0.000000,0.000000,0.000000
360,0.001527,0.001316,0.001790,0.001808,-0.005615,-0.005618,0.002183,0.002033,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007396,0.007276,0.000000,0.000000,0.000000,0.000000,0.000000
365,-0.002989,-0.003132,0.001702,0.001664,-0.004061,-0.004002,0.002362,0.002183,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011999,0.011698,0.000000,0.000000,0.000000,0.000000,0.000000
370,-0.005235,-0.005528,0.001232,0.001122,-0.002892,-0.002667,0.002611,0.002361,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013487,0.013135,0.000000,0.000000,0.000000,0.000000,0.000000
375,-0.006661,-0.007288,-0.000172,-0.000421,-0.001323,-0.000963,0.003081,0.002824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012279,0.011865,0.000000,0.000000,0.000000,0.000000,0.000000
380,-0.006126,-0.006262,-0.001139,-0.001117,-0.000509,-0.000338,0.003118,0.002928,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.009635,0.009295,0.000000,0.000000,0.000000,0.000000,0.000000
385,-0.004269,-0.004485,-0.001797,-0.001568,0.000202,0.000033,0.002966,0.002726,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.005898,0.005639,0.000000,0.000000,0.000000,0.000000,0.000000
390,-0.002692,-0.002796,-0.002209,-0.002245,0.000810,0.000826,0.002674,0.002606,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001358,0.001171,0.000000,0.000000,0.000000,0.000000,0.000000
395,-0.001054,-0.001280,-0.002972,-0.002630,0.001758,0.001741,0.002354,0.002267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.003035,-0.003099,0.000000,0.000000,0.000000,0.000000,0.000000
400,0.001158,0.000984,-0.002061,-0.002018,0.001555,0.001449,0.000904,0.000802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.006272,-0.006260,0.000000,0.000000,0.000000,0.000000,0.000000
405,0.002145,0.001955,-0.001521,-0.001481,0.001992,0.001760,-0.000563,-0.000492,0.000614,0.000531,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.008321,-0.008260,0.000000,0.000000,0.000000,0.000000,0.000000
410,0.003786,0.003657,0.000494,0.000615,0.001570,0.001571,-0.002981,-0.002901,0.001041,0.001031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.008731,-0.008642,0.000000,0.000000,0.000000,0.000000,0.000000
415,0.003574,0.003451,0.000847,0.001010,0.002068,0.002201,-0.004662,-0.004524,0.002125,0.002067,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.008565,-0.008447,0.000000,0.000000,0.000000,0.000000,0.000000
