position,BGA_15,BGA_16,BGA_17,BGA_18,BGA_19,BGA_20,BGA_21,BGA_22,BGA_23,BGA_24,BGA_25,BGA_26,BGA_27,BGA_28,BGA_29,BGA_30,BGA_31,BGA_32,BGA_33,BGA_34
512,0.168085,0.168277,0.513697,0.513724,0.951667,0.951705,0.76741,0.768425,-2.205855,-2.207933,1.622222,1.624445,-2.119997,-2.120697,0.545388,0.544196,1.169997,1.169412,0.67083,0.67045
513.5,0.174652,0.174217,0.524602,0.524426,0.996545,0.996325,0.850007,0.849451,-2.317539,-2.316851,1.678105,1.67773,-2.224684,-2.225463,0.604498,0.606564,1.229012,1.229384,0.707935,0.707277
515,0.186058,0.185471,0.536289,0.535976,1.066443,1.064557,0.958553,0.960485,-2.482493,-2.484812,1.768507,1.77087,-2.379731,-2.38026,0.683735,0.680496,1.314484,1.317386,0.7634,0.764899
516.5,0.206291,0.205907,0.553505,0.552696,1.17097,1.172113,1.102716,1.102285,-2.723612,-2.726165,1.912401,1.916489,-2.609982,-2.614366,0.792382,0.795182,1.434684,1.436525,0.840295,0.840214
518,0.232269,0.232266,0.570393,0.570379,1.311076,1.311023,1.291672,1.291534,-3.046603,-3.046554,2.109877,2.109868,-2.91687,-2.916899,0.933895,0.933994,1.593825,1.59387,0.942542,0.942557
519.5,0.269785,0.269439,0.593562,0.593347,1.49317,1.494924,1.518884,1.518457,-3.449191,-3.448261,2.358878,2.357759,-3.304358,-3.304972,1.111111,1.114307,1.792714,1.792412,1.070056,1.070611
521,0.318291,0.318503,0.626745,0.62282,1.702379,1.691064,1.786186,1.7926,-3.910201,-3.919462,2.636068,2.648001,-3.743919,-3.755014,1.314545,1.32196,2.023672,2.023784,1.224836,1.21304
522.5,0.36371,0.362309,0.646037,0.647668,1.93532,1.938285,2.070302,2.08312,-4.410404,-4.419521,2.943045,2.947364,-4.2307,-4.233502,1.548939,1.551862,2.272495,2.266063,1.38073,1.380449
524,0.418174,0.417654,0.682195,0.667193,2.194084,2.171045,2.39391,2.36287,-4.932628,-4.92372,3.242971,3.255173,-4.718777,-4.732778,1.787719,1.793227,2.525902,2.528562,1.549968,1.553067
525.5,0.459709,0.480543,0.700013,0.710974,2.422723,2.416688,2.673671,2.653125,-5.422756,-5.393994,3.54306,3.515323,-5.208587,-5.184062,2.030571,2.016278,2.785974,2.79223,1.707724,1.712333
527,0.512754,0.513012,0.717838,0.728993,2.639942,2.647076,2.97206,2.938259,-5.872755,-5.860225,3.785269,3.785881,-5.631382,-5.633257,2.253167,2.252455,3.015795,3.016421,1.872937,1.869159
528.5,0.560141,0.556878,0.738247,0.742631,2.836129,2.828889,3.193196,3.196371,-6.233909,-6.233331,3.98492,3.983915,-5.990177,-5.991464,2.4526,2.457902,3.214733,3.213986,1.986267,1.985277
530,0.595546,0.59652,0.748907,0.748046,2.988129,2.974829,3.388062,3.39122,-6.517213,-6.501014,4.130032,4.109955,-6.262948,-6.249772,2.607876,2.614687,3.377399,3.371647,2.082379,2.084371
531.5,0.615447,0.612364,0.750995,0.752487,3.07181,3.073674,3.512231,3.51244,-6.657267,-6.654478,4.179685,4.175487,-6.407395,-6.402587,2.728609,2.724639,3.457009,3.457412,2.14275,2.142999
533,0.622435,0.622436,0.735356,0.735356,3.094138,3.094146,3.555522,3.555539,-6.651773,-6.651822,4.138253,4.138314,-6.403538,-6.403588,2.768464,2.768484,3.468506,3.468518,2.154989,2.154995
534.5,0.61348,0.612286,0.706475,0.706964,3.025159,3.018195,3.483835,3.503071,-6.456687,-6.464683,3.98579,3.987737,-6.220724,-6.224359,2.722968,2.728784,3.384929,3.390069,2.105651,2.101894
536,0.58971,0.583655,0.644148,0.656457,2.887706,2.879501,3.331717,3.35315,-6.108033,-6.124348,3.738004,3.751544,-5.889929,-5.913516,2.627079,2.645364,3.191986,3.230753,1.980565,1.987947
537.5,0.55215,0.554398,0.618059,0.609658,2.685496,2.672335,3.123285,3.113841,-5.634292,-5.679041,3.395877,3.45891,-5.428992,-5.480393,2.442841,2.450694,3.007533,2.993651,1.866793,1.864927
539,0.471864,0.485288,0.553062,0.547187,2.385796,2.423681,2.763818,2.799164,-5.001767,-5.022734,3.00522,3.002652,-4.871531,-4.845621,2.24662,2.218289,2.716718,2.640076,1.616694,1.643558
540.5,0.428242,0.385868,0.474426,0.47949,1.918328,2.081685,2.452397,2.527548,-4.260184,-4.415575,2.485693,2.608567,-4.189849,-4.258244,1.992673,1.919598,2.370143,2.447639,1.433985,1.397998
542,0.34944,0.29619,0.414214,0.385837,1.707434,1.70327,2.079144,1.993196,-3.483787,-3.46342,1.889596,1.906605,-3.30521,-3.307436,1.607429,1.569722,1.852588,1.839872,1.130157,1.175153
543.5,0.3042965,0.277684,0.3781585,0.3636935,1.4509005,1.4426985,1.7951965,1.7259235,-2.652608,-2.650139,0.9012115,0.9345865,-2.530279,-2.5474455,1.4655435,1.4283215,1.5576635,1.547596,0.931573,0.9618135
545,0.259153,0.259178,0.342103,0.34155,1.194367,1.182127,1.511249,1.458651,-1.821429,-1.836858,-0.087173,-0.037432,-1.755348,-1.787455,1.323658,1.286921,1.262739,1.25532,0.732989,0.748474
546.5,0.168952,0.1689645,0.2494295,0.2491535,0.75748,0.7513615,1.039719,1.0134245,-0.883791,-0.8914995,-0.7835795,-0.758712,-0.854195,-0.870243,0.953262,0.9348975,0.796932,0.793224,0.4465995,0.4543425
548,0.078751,0.078751,0.156756,0.156757,0.320593,0.320596,0.568189,0.568198,0.053847,0.053859,-1.479986,-1.479992,0.046958,0.046969,0.582866,0.582874,0.331125,0.331128,0.16021,0.160211
