position,bga_05,bga_06,bga_07,bga_08,bga_09,bga_10,bga_11,bga_12,bga_13,bga_14,bga_15,bga_16,bga_17,bga_18,bga_19,bga_20,bga_21,bga_22,bga_23,bga_24,bga_25,bga_26,bga_27,bga_28,bga_29,bga_30,bga_31,bga_32,bga_33,bga_34,bga_35,bga_36,bga_37,bga_38,bga_39,bga_40,bga_41,bga_42,bga_43,bga_44,bga_45,bga_46,bga_47,bga_48,bga_49,bga_50,bga_00
15,0.946346,-1.03077,2.95032,-2.889473,-1.368181,1.373182,1.191082,-1.119924,0.88286,-1.057158,0.390792,-0.51881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,1.111091,-1.204083,3.555056,-3.489849,-1.373542,1.378688,0.830628,-0.759849,1.330611,-1.495984,0.610738,-0.732191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1.281181,-1.375953,4.039776,-3.975845,-1.364787,1.370082,0.563769,-0.499645,1.768864,-1.91049,0.826213,-0.930156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.5,1.479602,-1.577554,4.52141,-4.462501,-1.332346,1.340313,0.284215,-0.232191,2.301572,-2.408666,1.082077,-1.155579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1.623781,-1.711753,4.82764,-4.775278,-1.276922,1.281856,0.062393,-0.028154,2.746003,-2.811782,1.290618,-1.321046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.5,1.732151,-1.824903,5.010177,-4.955408,-1.164685,1.168448,-0.178679,0.203317,3.203337,-3.24248,1.477564,-1.490304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,1.747399,-1.834825,4.984351,-4.924454,-1.016227,1.01432,-0.3794,0.393049,3.511159,-3.530774,1.590158,-1.578394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.5,1.653226,-1.731442,4.714783,-4.640721,-0.767209,0.755,-0.606691,0.610329,3.741778,-3.754917,1.643064,-1.61048,0.039996,-0.021977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1.495563,-1.562164,4.319323,-4.225231,-0.496271,0.471904,-0.787568,0.786836,3.827032,-3.847878,1.633986,-1.592412,0.084845,-0.046216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73.5,1.242341,-1.299365,3.715366,-3.596992,-0.11939,0.082843,-0.978736,0.975535,3.813412,-3.848152,1.58511,-1.535702,0.153548,-0.090963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.997406,-1.02137,3.136443,-2.987221,0.235938,-0.291861,-1.124445,1.111384,3.713975,-3.771235,1.531935,-1.454148,0.234721,-0.134484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86.5,0.689924,-0.715682,2.427827,-2.256198,0.715194,-0.77698,-1.26859,1.258669,3.490032,-3.54756,1.462694,-1.409443,0.325475,-0.218086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0.428461,-0.448795,1.850927,-1.693974,1.132682,-1.191889,-1.356526,1.35562,3.220897,-3.296807,1.423799,-1.366232,0.416111,-0.307685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.5,0.16878,-0.176116,1.272395,-1.120518,1.633748,-1.697311,-1.434562,1.44097,2.82407,-2.909983,1.432532,-1.379115,0.540507,-0.431243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0.904873,-0.775285,2.067038,-2.124119,-1.477513,1.48402,2.420781,-2.503523,1.495317,-1.441346,0.657935,-0.557611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111.12,0,0,0.712763,-0.614514,2.421222,-2.467567,-1.494228,1.502125,2.042694,-2.118157,1.595265,-1.54198,0.762444,-0.679351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116.25,0,0,0.613654,-0.554443,2.760087,-2.791056,-1.490651,1.497363,1.6362,-1.69989,1.73092,-1.677924,0.871005,-0.81148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121.38,0,0,0.589826,-0.571152,3.070061,-3.084916,-1.461474,1.466632,1.201897,-1.255734,1.896487,-1.844318,0.988337,-0.946054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126.5,0,0,0.621264,-0.660288,3.390565,-3.379679,-1.393371,1.394823,0.688735,-0.720539,2.09329,-2.041586,1.109252,-1.113154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131.62,0,0,0.682682,-0.762949,3.598101,-3.567884,-1.304588,1.302984,0.253097,-0.271003,2.259388,-2.20763,1.210476,-1.243316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136.75,0,0,0.750474,-0.867474,3.7356,-3.688535,-1.185036,1.18149,-0.171061,0.165463,2.408207,-2.356692,1.304149,-1.361933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141.88,0,0,0.80492,-0.949508,3.792881,-3.735417,-1.034695,1.031629,-0.574311,0.578417,2.528636,-2.476816,1.385507,-1.463685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0.824777,-0.985325,3.755388,-3.696257,-0.851406,0.851588,-0.951564,0.959205,2.6082,-2.553897,1.453688,-1.542639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152.12,0,0,0.79557,-0.957187,3.615252,-3.563328,-0.638911,0.644436,-1.2923,1.299522,2.636783,-2.57759,1.506658,-1.595128,0.055879,-0.06995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157.25,0,0,0.721971,-0.873339,3.385299,-3.351423,-0.399608,0.41392,-1.594699,1.599209,2.612016,-2.548133,1.546665,-1.627567,0.128733,-0.16088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162.38,0,0,0.621143,-0.749103,3.083317,-3.07539,-0.139416,0.163941,-1.860839,1.855948,2.538688,-2.469371,1.578335,-1.643036,0.212733,-0.262431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167.5,0,0,0.466149,-0.56479,2.659289,-2.683497,0.190382,-0.153307,-2.123835,2.103914,2.384195,-2.307055,1.608065,-1.654259,0.33247,-0.40064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172.62,0,0,0.329923,-0.403439,2.271108,-2.320523,0.478694,-0.433675,-2.295867,2.273179,2.199483,-2.119862,1.632591,-1.670681,0.442356,-0.524539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177.75,0,0,0.19975,-0.24498,1.878395,-1.949695,0.772511,-0.721133,-2.42912,2.398685,1.971729,-1.8895,1.660596,-1.690355,0.556767,-0.64634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182.88,0,0,0.085969,-0.105541,1.494976,-1.582628,1.06764,-1.011369,-2.5191,2.478781,1.699167,-1.61366,1.698902,-1.727401,0.675368,-0.761846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,0,0,0,0,1.143048,-1.238526,1.359166,-1.301985,-2.561366,2.517726,1.385625,-1.297861,1.748099,-1.785608,0.794455,-0.867932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191.75,0,0,0,0,0.895581,-0.986406,1.58569,-1.529928,-2.565881,2.516384,1.107823,-1.020342,1.798036,-1.850851,0.888604,-0.943792,0.076303,-0.049015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195.5,0,0,0,0,0.680197,-0.761535,1.803698,-1.752479,-2.535578,2.484054,0.806895,-0.721418,1.855079,-1.929142,0.981872,-1.010969,0.168255,-0.110573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199.25,0,0,0,0,0.537775,-0.610374,1.957729,-1.9102,-2.490965,2.437052,0.574954,-0.489209,1.896445,-1.990219,1.048877,-1.057023,0.244284,-0.161486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,0,0,0,0,0.373115,-0.430849,2.146463,-2.106021,-2.400006,2.344891,0.258884,-0.175111,1.951828,-2.07119,1.133882,-1.112942,0.349163,-0.233226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206.75,0,0,0,0,0.238818,-0.278725,2.310281,-2.278532,-2.272526,2.217168,-0.058312,0.139837,1.998957,-2.14452,1.214682,-1.16374,0.453973,-0.305727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210.5,0,0,0,0,0.128375,-0.151882,2.442154,-2.416132,-2.107896,2.047975,-0.371026,0.451097,2.036974,-2.203668,1.287232,-1.211474,0.550487,-0.377663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214.25,0,0,0,0,0.063824,-0.076589,2.519092,-2.497557,-1.958492,1.897472,-0.600474,0.677528,2.053033,-2.232322,1.337225,-1.244017,0.614465,-0.426955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,0,0,0,0,0,0,2.584246,-2.56647,-1.725962,1.661578,-0.892741,0.966677,2.056636,-2.246994,1.395541,-1.286052,0.683776,-0.485378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221.75,0,0,0,0,0,0,2.605235,-2.587492,-1.455156,1.390428,-1.166843,1.23968,2.033778,-2.226769,1.443253,-1.327079,0.73023,-0.533319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225.5,0,0,0,0,0,0,2.590353,-2.570297,-1.153663,1.085879,-1.417855,1.490116,1.983304,-2.171475,1.484065,-1.369332,0.758924,-0.572568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229.25,0,0,0,0,0,0,2.56293,-2.540667,-0.911573,0.842007,-1.591489,1.66041,1.927158,-2.106071,1.51278,-1.402868,0.772773,-0.598375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,0,0,0,0,0,0,2.510195,-2.484459,-0.577251,0.505184,-1.795082,1.862196,1.826605,-1.989329,1.550175,-1.453476,0.78557,-0.631353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236.75,0,0,0,0,0,0,2.451206,-2.419887,-0.235246,0.158761,-1.969666,2.034385,1.694914,-1.837575,1.591046,-1.511975,0.798681,-0.665759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240.5,0,0,0,0,0,0,2.395503,-2.359462,0.103961,-0.183014,-2.109489,2.171271,1.531305,-1.650717,1.638259,-1.581174,0.818074,-0.70493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244.25,0,0,0,0,0,0,2.364161,-2.322645,0.351615,-0.434239,-2.1911,2.249032,1.385878,-1.486758,1.68005,-1.64126,0.841007,-0.739235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,0,0,0,0,0,0,2.342298,-2.29249,0.664108,-0.75132,-2.265965,2.316568,1.162409,-1.238902,1.748335,-1.735011,0.888086,-0.794815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
251.75,0,0,0,0,0,0,2.349617,-2.292054,0.95196,-1.042663,-2.299898,2.342401,0.902925,-0.958203,1.832755,-1.844564,0.957622,-0.863728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
255.5,0,0,0,0,0,0,2.374398,-2.308133,1.209995,-1.304664,-2.287959,2.322169,0.616679,-0.649473,1.923111,-1.964149,1.044591,-0.944659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259.25,0,0,0,0,0,0,2.397921,-2.324392,1.388227,-1.482235,-2.252561,2.273727,0.385767,-0.404522,1.995114,-2.053589,1.11889,-1.010278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263,0,0,0,0,0,0,2.418564,-2.337668,1.595371,-1.69454,-2.157807,2.175735,0.064573,-0.070816,2.088886,-2.169159,1.224946,-1.103411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266.75,0,0,0,0,0,0,2.416167,-2.328072,1.77262,-1.874223,-2.017462,2.028613,-0.264163,0.269604,2.173125,-2.271206,1.331963,-1.199756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270.5,0,0,0,0,0,0,2.374937,-2.282188,1.918505,-2.021908,-1.827235,1.834886,-0.597359,0.606588,2.243,-2.34945,1.436339,-1.295418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274.25,0,0,0,0,0,0,2.308431,-2.214817,2.006469,-2.110366,-1.651088,1.65879,-0.844593,0.853499,2.281327,-2.388312,1.507563,-1.364807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
278,0,0,0,0,0,0,2.160397,-2.068651,2.092301,-2.198076,-1.371209,1.384183,-1.164408,1.168443,2.307946,-2.407456,1.589719,-1.4524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281.75,0,0,0,0,0,0,1.936153,-1.850587,2.14199,-2.249984,-1.042622,1.067122,-1.468315,1.4639,2.301253,-2.380236,1.65363,-1.531333,0.075898,-0.089673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285.5,0,0,0,0,0,0,1.650991,-1.576735,2.160279,-2.271527,-0.673286,0.715753,-1.750209,1.733859,2.259301,-2.308155,1.702574,-1.60387,0.175079,-0.206802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289.25,0,0,0,0,0,0,1.411647,-1.346959,2.157356,-2.271852,-0.377971,0.435622,-1.943082,1.915735,2.203148,-2.225087,1.73286,-1.655389,0.261862,-0.308787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,1.074979,-1.024832,2.134263,-2.253591,0.027198,0.052675,-2.168322,2.126147,2.09522,-2.079495,1.77069,-1.722882,0.389527,-0.458301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
296.75,0,0,0,0,0,0,0.738944,-0.704259,2.095004,-2.219658,0.436259,-0.332853,-2.355459,2.29685,1.949011,-1.894645,1.809753,-1.791009,0.526284,-0.617428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300.5,0,0,0,0,0,0,0.425981,-0.405645,2.044536,-2.17598,0.833541,-0.707504,-2.495369,2.423186,1.761247,-1.672929,1.856522,-1.862773,0.666758,-0.779473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304.25,0,0,0,0,0,0,0.219709,-0.20923,2.003237,-2.140393,1.118069,-0.976106,-2.566968,2.485976,1.591555,-1.481738,1.899544,-1.920325,0.77125,-0.898974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,0,0,0,0,0,0,0,0,1.946196,-2.09151,1.46422,-1.303753,-2.613626,2.523103,1.327714,-1.198161,1.973174,-2.00347,0.905585,-1.050452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
311.75,0,0,0,0,0,0,0,0,1.889497,-2.044638,1.758147,-1.58643,-2.60845,2.511523,1.015345,-0.878714,2.065916,-2.09403,1.029706,-1.187313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
315.5,0,0,0,0,0,0,0,0,1.836377,-2.001798,2.009186,-1.828357,-2.54274,2.443591,0.671019,-0.537981,2.173074,-2.189107,1.142582,-1.30939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319.25,0,0,0,0,0,0,0,0,1.79815,-1.971035,2.168981,-1.984188,-2.454678,2.358437,0.396751,-0.272823,2.256058,-2.258158,1.219644,-1.39101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,0,0,0,0,0,0,0,0,1.74894,-1.92875,2.341317,-2.155022,-2.29401,2.203543,0.022226,0.082554,2.364858,-2.344073,1.313759,-1.486428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326.75,0,0,0,0,0,0,0,0,1.697806,-1.884811,2.468876,-2.285557,-2.085335,2.007135,-0.354612,0.434471,2.460967,-2.414643,1.395635,-1.567692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330.5,0,0,0,0,0,0,0,0,1.646228,-1.83663,2.551457,-2.376085,-1.83626,1.773139,-0.722573,0.773339,2.535269,-2.463726,1.466716,-1.633241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334.25,0,0,0,0,0,0,0,0,1.605351,-1.797505,2.583986,-2.418822,-1.62404,1.576568,-0.986228,1.015422,2.56925,-2.481552,1.511512,-1.672533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,1.54716,-1.738473,2.586747,-2.440594,-1.315066,1.29136,-1.311803,1.312622,2.580506,-2.47559,1.561294,-1.711643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341.75,0,0,0,0,0,0,0,0,1.484102,-1.670651,2.54546,-2.425792,-0.981447,0.986804,-1.603081,1.578581,2.546254,-2.426213,1.601248,-1.735078,0.065781,-0.084985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345.5,0,0,0,0,0,0,0,0,1.414191,-1.592874,2.466867,-2.379281,-0.63156,0.667499,-1.851885,1.809037,2.463122,-2.33466,1.633202,-1.748699,0.15386,-0.196183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349.25,0,0,0,0,0,0,0,0,1.357339,-1.528616,2.393851,-2.326008,-0.361378,0.413572,-2.014965,1.963129,2.372151,-2.241468,1.654702,-1.755241,0.231574,-0.292268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
353,0,0,0,0,0,0,0,0,1.274261,-1.434251,2.2796,-2.243633,0.002176,0.075099,-2.195877,2.133411,2.21439,-2.082642,1.685974,-1.766583,0.349593,-0.432823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356.75,0,0,0,0,0,0,0,0,1.183073,-1.329744,2.159485,-2.151638,0.362881,-0.266967,-2.336145,2.267779,2.01607,-1.887002,1.723399,-1.785728,0.480459,-0.582135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360.5,0,0,0,0,0,0,0,0,1.082166,-1.214587,2.043121,-2.058825,0.714429,-0.60585,-2.435013,2.364144,1.779759,-1.65625,1.771439,-1.818814,0.621264,-0.733497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
