position,bga_05,bga_06,bga_07,bga_08,bga_09,bga_10,bga_11,bga_12,bga_13,bga_14,bga_15,bga_16,bga_17,bga_18,bga_19,bga_20,bga_21,bga_22,bga_23,bga_24,bga_25,bga_26,bga_27,bga_28,bga_29,bga_30,bga_31,bga_32,bga_33,bga_34,bga_35,bga_36,bga_37,bga_38,bga_39,bga_40,bga_41,bga_42,bga_43,bga_44,bga_45,bga_46,bga_47,bga_48,bga_49,bga_50,bga_00
15,0.375858,0.380019,0.654913,0.656202,-1.019366,-1.022159,0.267702,0.272706,0.346758,0.34846,0.175014,0.17715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.5,0.439334,0.439345,0.809111,0.810909,-1.076595,-1.076996,0.134039,0.133841,0.501911,0.501533,0.255763,0.259245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0.520798,0.533871,0.968799,0.964562,-1.127477,-1.130947,-0.017625,-0.010099,0.649867,0.654952,0.384288,0.347446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.5,0.602911,0.605154,1.150879,1.150818,-1.176901,-1.176303,-0.15925,-0.160154,0.811343,0.808821,0.415989,0.417392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.688416,0.671642,1.29492,1.328248,-1.183507,-1.197317,-0.313141,-0.301154,0.92866,0.929528,0.504312,0.478157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.5,0.740749,0.737951,1.417853,1.418793,-1.153613,-1.152525,-0.462523,-0.463802,1.069705,1.070726,0.54575,0.54267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0.755754,0.755748,1.465156,1.465123,-1.062364,-1.062369,-0.597107,-0.597125,1.155927,1.155898,0.581174,0.581165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.5,0.726221,0.723767,1.424397,1.426402,-0.91359,-0.913861,-0.712607,-0.712839,1.209552,1.210758,0.597098,0.599345,0.017808,0.017932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0.664678,0.664646,1.324102,1.32345,-0.733941,-0.733198,-0.80057,-0.80131,1.216258,1.216466,0.592968,0.596151,0.034171,0.037975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73.5,0.561725,0.565803,1.142223,1.147919,-0.514091,-0.518344,-0.86691,-0.863165,1.187717,1.179078,0.577604,0.569837,0.082479,0.081059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.442954,0.453146,0.966562,0.975789,-0.29631,-0.317076,-0.905539,-0.896119,1.104816,1.116249,0.534951,0.533414,0.114606,0.082363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86.5,0.311515,0.315737,0.740395,0.740823,-0.079443,-0.072451,-0.921387,-0.924322,1.00999,1.009801,0.506896,0.509111,0.149315,0.115548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,0.195776,0.19429,0.567049,0.557269,0.137889,0.113049,-0.939106,-0.928838,0.882497,0.880945,0.474907,0.49572,0.15613,0.159293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99.5,0.07559,0.075826,0.378312,0.379682,0.329547,0.327339,-0.93958,-0.938139,0.743719,0.741284,0.464145,0.46155,0.195984,0.198134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
