position,GenIII_05,GenIII_06,GenIII_07,GenIII_08,GenIII_09,GenIII_10,GenIII_11,GenIII_12,GenIII_13,GenIII_14,GenIII_15,GenIII_50,GenIII_16,GenIII_49,GenIII_17,GenIII_51,GenIII_18,GenIII_59,GenIII_19,GenIII_20,GenIII_21,GenIII_22,GenIII_23,GenIII_24,GenIII_25,GenIII_52,GenIII_26,GenIII_58,GenIII_27,GenIII_28,GenIII_29,GenIII_30,GenIII_31,GenIII_53,GenIII_32,GenIII_54,GenIII_33,GenIII_34,GenIII_35,GenIII_36,GenIII_37,GenIII_38,GenIII_39,GenIII_54,GenIII_40,GenIII_56,GenIII_41,GenIII_55,GenIII_42,GenIII_43,GenIII_44,GenIII_45,GenIII_46,GenIII_47,GenIII_48,GenIII_Shield
-446,0,0,2.540846,2.548701,-0.08206,-0.087196,-3.829926,-3.835081,-0.496098,-0.48107,2.384218,2.384218,2.382751,2.382751,0.184488,0.184488,0.183934,0.183934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-443,0,0,2.582178,2.589671,0.067539,0.063741,-3.767106,-3.773485,-0.720529,-0.706095,2.253419,2.253419,2.2523,2.2523,0.343722,0.343722,0.342895,0.342895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-439,0,0,2.565635,2.572028,0.237488,0.236139,-3.649561,-3.656209,-1.016255,-1.004141,2.094615,2.094615,2.09409,2.09409,0.61189,0.61189,0.610428,0.610428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-435,0,0,2.505376,2.509844,0.416597,0.417795,-3.488395,-3.495177,-1.334473,-1.325016,1.920107,1.920107,1.92043,1.92043,0.905621,0.905621,0.903815,0.903815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-431,0,0,2.401113,2.403678,0.603829,0.607719,-3.287644,-3.294552,-1.665958,-1.659411,1.734709,1.734709,1.73585,1.73585,1.20942,1.20942,1.207292,1.207292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-428,0,0,2.316628,2.317464,0.777098,0.78336,-3.102312,-3.108963,-1.936438,-1.932143,1.565853,1.565853,1.567273,1.567273,1.417071,1.417071,1.414543,1.414543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-424,0,0,2.136229,2.135149,0.976137,0.985414,-2.841906,-2.848385,-2.267188,-2.26548,1.371566,1.371566,1.37345,1.37345,1.699239,1.699239,1.696491,1.696491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-420,0,0,1.915423,1.912892,1.181903,1.194107,-2.556345,-2.562957,-2.586002,-2.586152,1.180331,1.180331,1.182387,1.182387,1.949157,1.949157,1.946367,1.946367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-416,0,0,1.657201,1.653859,1.392412,1.407373,-2.25046,-2.25756,-2.882475,-2.883828,0.996661,0.996661,0.998376,0.998376,2.154638,2.154638,2.15194,2.15194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-413,0,0,1.463693,1.459874,1.575206,1.592714,-1.99346,-2.001218,-3.098382,-3.100074,0.835043,0.835043,0.835784,0.835784,2.257191,2.257191,2.254892,2.254892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-409,0,0,1.168336,1.16494,1.779252,1.798274,-1.669553,-1.678021,-3.339253,-3.341106,0.659281,0.659281,0.659522,0.659522,2.385293,2.385293,2.383109,2.383109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-405,0,0,0.871029,0.868334,1.969789,1.990959,-1.34632,-1.355501,-3.539973,-3.54207,0.484291,0.484291,0.483811,0.483811,2.472834,2.472834,2.471221,2.471221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-401,0,0,0.58701,0.584868,2.141609,2.163291,-1.031114,-1.040951,-3.697189,-3.698284,0.307941,0.307941,0.305789,0.305789,2.524699,2.524699,2.523502,2.523502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-398,0,0,0.405921,0.404623,2.278677,2.30058,-0.782268,-0.792051,-3.788451,-3.788679,0.144222,0.144222,0.140609,0.140609,2.517217,2.517217,2.515452,2.515452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-394,0,0,0.178051,0.176584,2.402198,2.42401,-0.499694,-0.508868,-3.853865,-3.855222,-0.041748,-0.041748,-0.044472,-0.044472,2.514071,2.514071,2.513361,2.513361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-390,0,0,0,0,2.491286,2.511485,-0.245282,-0.254655,-3.86371,-3.863278,-0.236056,-0.236056,-0.240874,-0.240874,2.489179,2.489179,2.489727,2.489727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
