position,GenIII_03,GenIII_04,GenIII_05,GenIII_06,GenIII_07,GenIII_08,GenIII_09,GenIII_10,GenIII_11,GenIII_12,GenIII_13,GenIII_14,GenIII_15,GenIII_50,GenIII_16,GenIII_49,GenIII_17,GenIII_51,GenIII_18,GenIII_59,GenIII_19,GenIII_20,GenIII_21,GenIII_22,GenIII_23,GenIII_24,GenIII_25,GenIII_52,GenIII_26,GenIII_58,GenIII_27,GenIII_28,GenIII_29,GenIII_30,GenIII_31,GenIII_53,GenIII_32,GenIII_57,GenIII_33,GenIII_34,GenIII_35,GenIII_36,GenIII_37,GenIII_38,GenIII_39,GenIII_54,GenIII_40,GenIII_56,GenIII_41,GenIII_55,GenIII_42,GenIII_60,GenIII_43,GenIII_44,GenIII_45,GenIII_46,GenIII_47,GenIII_48,GenIII_00
-510,3.3317,-3.3413,-1.3261,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,-1.3261,1.3354,1.3354,-1.3261,-1.3261,1.3354,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,1.3354,3.3317,3.3317,1.3354,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,-1.3261,1.3354,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,-1.3261,1.3354,1.3354,-1.3261,-1.3261,1.3354,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,1.3354,0
510,3.3317,-3.3413,-1.3261,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,-1.3261,1.3354,1.3354,-1.3261,-1.3261,1.3354,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,1.3354,3.3317,3.3317,1.3354,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,-1.3261,1.3354,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,-1.3261,1.3354,1.3354,-1.3261,-1.3261,1.3354,1.3354,-1.3261,1.3354,-1.3261,1.3354,-1.3261,1.3354,0
