position,SYM_05,SYM_06,SYM_07,SYM_08,SYM_09,SYM_10,SYM_11,SYM_12,SYM_14,SYM_15,SYM_16,SYM_17,SYM_18,SYM_19,SYM_20,SYM_21,SYM_22,SYM_23,SYM_24,SYM_25,SYM_26,SYM_27,SYM_28,SYM_29,SYM_30,SYM_31,SYM_32,SYM_33,SYM_34,SYM_35,SYM_36,SYM_37,SYM_38,SYM_39,SYM_40,SYM_41,SYM_42,SYM_43,SYM_44,SYM_45,SYM_46
-480,0.349304,1.505000,-0.035756,-0.006877,-1.887860,-2.703076,0.377903,0.475565,1.250546,0.262900,0.660379,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-476,0.307907,1.485958,0.057060,0.176531,-1.895987,-2.684787,0.207266,0.094836,1.377499,0.315682,0.754397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-473,0.298396,1.498427,0.150125,0.336342,-1.898331,-2.663211,0.052239,-0.203853,1.458334,0.344550,0.819931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-469,0.261085,1.484955,0.241220,0.512804,-1.901287,-2.627015,-0.124549,-0.571334,1.566261,0.393207,0.910009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-465,0.228405,1.475132,0.330731,0.678875,-1.892617,-2.570895,-0.304605,-0.924175,1.652034,0.436939,0.995401,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-461,0.200041,1.466685,0.416483,0.828383,-1.863733,-2.485500,-0.485469,-1.256025,1.706948,0.473784,1.074090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-458,0.200216,1.483212,0.501619,0.950789,-1.812013,-2.385425,-0.644413,-1.504137,1.710694,0.483444,1.122463,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-454,0.177073,1.473825,0.573176,1.055581,-1.734400,-2.234291,-0.816998,-1.784029,1.695833,0.505880,1.187404,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-450,0.153807,1.459436,0.629686,1.123397,-1.623816,-2.038225,-0.977306,-2.024530,1.633197,0.520431,1.244019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-446,0.134955,1.432931,0.668558,1.145987,-1.479705,-1.795572,-1.122894,-2.222026,1.517253,0.528731,1.289967,-0.010474,0.093550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-443,0.135824,1.421028,0.705661,1.159630,-1.330396,-1.561776,-1.237498,-2.353330,1.383735,0.515883,1.309798,-0.025576,0.175921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-439,0.113429,1.366672,0.708483,1.124086,-1.142133,-1.254524,-1.351321,-2.482667,1.205294,0.518668,1.342804,-0.030573,0.302508,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-435,0.089700,1.293360,0.694315,1.072696,-0.938268,-0.924526,-1.450984,-2.582551,1.010563,0.520938,1.369889,-0.026908,0.433710,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-431,0.066433,1.202847,0.667814,1.019448,-0.723273,-0.581194,-1.543043,-2.663432,0.813849,0.524138,1.393268,-0.011109,0.560248,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-428,0.065427,1.136919,0.662196,1.006384,-0.529824,-0.289338,-1.617889,-2.714797,0.650332,0.505090,1.396050,0.000810,0.639708,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-424,0.046450,1.016406,0.628833,0.988637,-0.299122,0.063167,-1.704048,-2.777845,0.477607,0.506292,1.411557,0.044403,0.729985,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-420,0.033161,0.881084,0.599167,1.015840,-0.058195,0.412419,-1.794303,-2.844905,0.333433,0.502078,1.422738,0.106238,0.785534,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-416,0.027565,0.735671,0.579084,1.100326,0.195280,0.755978,-1.888019,-2.919140,0.224664,0.490577,1.428670,0.187547,0.796772,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-413,0.041862,0.637238,0.597593,1.210181,0.421793,1.038285,-1.963282,-2.966706,0.137325,0.442909,1.415725,0.244875,0.778016,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-409,0.040229,0.493163,0.605713,1.361596,0.689604,1.358755,-2.052058,-3.029279,0.054140,0.394295,1.417071,0.349448,0.739390,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-405,0.040748,0.356184,0.628549,1.530263,0.954461,1.652629,-2.133645,-3.065409,-0.042453,0.322134,1.423830,0.460262,0.687677,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-401,0.035194,0.232289,0.663293,1.689326,1.204256,1.909053,-2.199776,-3.055613,-0.170356,0.220091,1.435313,0.579731,0.636298,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-398,0.042768,0.161523,0.716617,1.808816,1.400227,2.099094,-2.237412,-2.994256,-0.319174,0.092818,1.432597,0.660050,0.597396,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-394,0.024004,0.070132,0.769624,1.902932,1.598854,2.263151,-2.289026,-2.871158,-0.550469,-0.057273,1.465827,0.790205,0.577827,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-390,0.000000,0.000000,0.833705,1.930690,1.743204,2.354449,-2.336589,-2.655339,-0.869762,-0.239993,1.511109,0.926756,0.592081,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-386,0.000000,0.000000,0.905664,1.878477,1.829482,2.370670,-2.380420,-2.327255,-1.279535,-0.459577,1.566930,1.063349,0.648254,0.138224,0.034773,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-383,0.000000,0.000000,0.984672,1.801074,1.891455,2.359007,-2.411859,-1.992859,-1.644574,-0.674011,1.581423,1.153767,0.700347,0.262159,0.065313,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
